Index,R,G,B
0,191,219,255
1,130,151,152
2,25,141,231
3,120,136,131
4,36,134,190
5,87,70,94
6,252,255,255
7,170,189,197
8,141,162,163
9,5,15,9
10,203,248,254
11,75,109,133
12,2,129,192
13,67,42,66
14,157,172,171
15,187,202,215
16,128,169,191
17,40,23,23
18,108,115,116
19,156,180,188
