Index,R,G,B
0,6,15,9
1,88,71,95
2,42,23,25
3,130,169,190
4,189,205,218
5,129,151,152
6,142,162,163
7,157,173,173
8,252,255,255
9,163,185,192
10,68,44,68
11,191,219,255
12,9,132,196
13,108,116,117
14,177,192,203
15,203,248,254
16,121,137,132
17,74,110,135
