Index,R,G,B
0,166,186,199
1,168,186,206
2,168,188,203
3,168,189,199
4,170,187,200
5,170,190,203
6,174,188,203
7,174,189,205
8,174,192,206
9,181,191,207
10,182,196,211
11,188,202,218
12,193,214,227
13,193,226,239
14,193,238,241
15,198,246,254
16,210,252,253
17,226,254,252
18,240,255,254
19,255,255,255
