Index,R,G,B
0,192,227,241
1,192,228,239
2,193,228,242
3,194,234,240
4,194,255,253
5,196,240,243
6,198,245,247
7,203,249,249
8,203,253,252
9,214,252,250
10,226,254,252
11,241,254,252
12,252,254,253
