Index,R,G,B
0,174,191,208
1,179,193,208
2,179,195,209
3,181,191,207
4,183,200,213
5,185,193,210
6,189,195,212
7,190,206,220
8,192,215,229
9,192,224,236
10,193,201,216
11,193,238,241
12,198,247,252
13,217,253,252
14,237,255,252
15,255,255,255
