Index,R,G,B
0,198,247,250
1,199,249,249
2,200,254,253
3,204,248,248
4,204,254,253
5,208,247,248
6,215,248,247
7,217,253,252
8,223,250,249
9,229,252,252
10,234,253,251
11,243,254,251
12,250,255,252
13,254,254,252
