Index,R,G,B
0,192,227,241
1,192,228,239
2,193,228,242
3,194,234,240
4,194,239,242
5,196,255,252
6,197,244,246
7,202,248,248
8,211,251,250
9,219,253,252
10,228,254,252
11,241,254,252
12,252,254,253
