Index,R,G,B
0,198,247,250
1,199,249,249
2,200,254,253
3,204,248,248
4,206,254,253
5,208,247,248
6,215,248,249
7,218,252,250
8,225,250,250
9,232,253,252
10,236,253,250
11,241,254,252
12,247,254,251
13,254,254,252
