Index,R,G,B
0,191,213,232
1,192,215,229
2,192,216,233
3,192,224,236
4,192,231,238
5,193,219,237
6,193,239,243
7,194,215,228
8,197,245,252
9,205,250,254
10,220,254,255
11,233,254,253
12,244,255,252
13,255,255,255
