Index,R,G,B
0,191,228,244
1,192,227,241
2,192,228,239
3,193,228,242
4,193,228,244
5,194,233,242
6,194,234,240
7,195,242,243
8,203,249,248
9,216,252,251
10,229,255,253
11,242,255,253
12,255,255,255
