Index,R,G,B
0,164,184,197
1,166,185,202
2,167,186,200
3,167,187,202
4,167,189,203
5,172,187,199
6,172,190,204
7,174,193,205
8,175,193,207
9,182,192,208
10,186,198,213
11,190,205,218
12,191,214,228
13,193,225,237
14,193,238,241
15,198,246,254
16,210,252,253
17,224,254,253
18,240,255,254
19,255,255,255
