Index,R,G,B
0,192,227,241
1,192,228,239
2,193,228,242
3,193,238,241
4,194,234,240
5,195,245,244
6,196,255,252
7,197,241,245
8,202,248,248
9,214,252,252
10,228,254,252
11,241,254,252
12,252,254,253
