Index,R,G,B
0,191,229,241
1,192,231,240
2,193,229,240
3,193,231,243
4,193,235,240
5,196,240,243
6,197,236,246
7,198,246,245
8,203,249,248
9,209,251,250
10,219,253,252
11,231,255,252
12,242,255,253
13,255,255,255
