Index,R,G,B
0,0,0,0
1,0,0,254
2,0,212,0
3,1,0,109
4,1,136,250
5,1,231,246
6,6,182,111
7,129,241,248
8,132,163,240
9,133,14,125
10,134,65,1
11,137,125,251
12,165,126,110
13,225,125,3
14,229,194,199
15,235,122,116
16,242,42,1
17,247,236,108
18,252,240,2
19,254,254,250
