Index,R,G,B
0,0,0,0
1,0,14,254
2,0,54,127
3,0,213,0
4,0,248,252
5,0,254,125
6,127,233,234
7,128,114,234
8,129,127,132
9,131,3,124
10,131,250,91
11,132,63,1
12,166,7,250
13,217,125,228
14,222,197,238
15,227,196,194
16,236,126,33
17,241,3,31
18,251,252,3
19,254,253,246
