Index,R,G,B
0,0,0,0
1,0,0,254
2,0,127,217
3,0,175,0
4,128,1,127
5,129,127,135
6,130,127,252
7,137,14,241
8,140,51,2
9,164,249,3
10,200,249,62
11,202,125,53
12,208,186,196
13,248,89,2
14,253,252,1
15,255,255,249
