Index,R,G,B
0,154,226,67
1,0,128,128
2,205,144,98
3,255,128,128
4,255,128,128
5,126,108,107
6,82,207,20
7,255,128,128
8,137,209,178
9,255,128,128
10,232,80,114
11,255,128,128
12,247,106,223
13,224,42,211
14,255,128,128
15,255,128,128
