Index,R,G,B
0,236,74,217
1,205,144,98
2,123,99,119
3,232,80,114
4,255,128,128
5,255,128,128
6,255,128,128
7,140,147,57
8,82,207,20
9,255,128,128
10,255,128,128
11,255,128,128
12,140,212,132
13,136,208,195
14,255,128,128
15,255,128,128
16,154,226,67
17,255,128,128
18,255,128,128
19,0,128,128
