Index,R,G,B
0,255,255,255
1,10,255,255
2,3,22,255
3,255,255,255
4,255,255,255
5,0,7,3
6,255,255,255
7,255,255,255
8,255,255,255
9,255,255,255
10,255,255,255
11,0,17,10
12,255,255,255
13,6,20,16
14,255,255,255
15,255,255,255
16,255,255,255
17,255,255,255
