Index,R,G,B
0,116,255,255
1,62,70,87
2,37,35,52
3,255,255,255
4,80,109,113
5,255,255,255
6,255,255,255
7,10,65,254
8,101,127,255
9,255,255,255
10,2,54,106
11,5,16,11
12,255,255,255
13,255,255,255
14,255,255,255
15,255,255,255
