Index,R,G,B
0,255,255,255
1,0,5,2
2,255,255,255
3,255,255,255
4,255,255,255
5,5,19,13
6,255,255,255
7,255,255,255
8,255,255,255
9,255,255,255
10,255,255,255
11,8,255,255
12,255,255,255
13,255,255,255
14,7,20,255
15,0,16,11
16,255,255,255
17,255,255,255
18,255,255,255
19,255,255,255
