Index,R,G,B
0,255,255,255
1,3,16,10
2,56,255,255
3,255,255,255
4,255,255,255
5,2,42,80
6,255,255,255
7,255,255,255
8,255,255,255
9,47,54,73
10,255,255,255
11,255,255,255
12,255,255,255
13,255,255,255
14,29,29,38
15,56,64,255
16,255,255,255
17,255,255,255
