Index,R,G,B
0,82,113,115
1,255,255,255
2,48,49,73
3,255,255,255
4,67,77,92
5,255,255,255
6,1,56,109
7,255,255,255
8,104,128,254
9,255,255,255
10,255,255,255
11,36,32,48
12,255,255,255
13,255,255,255
14,118,255,255
15,255,255,255
16,2,15,9
17,255,255,255
18,21,23,23
19,10,69,254
